ERCOT Hourly Imports and Exports (megawatt) by DC Tie Line
Hourly interchange data by DC tie line for ERCOT
Source: EIA collected from ERCOT
UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,"Comision Federal de Electricidad, Eagle Pass Net Export (MW)","Comision Federal de Electricidad, Laredo Net Export (MW)","Comision Federal de Electricidad, Railroad Net Export (MW)","Southwest Power Pool, East Net Export (MW)","Southwest Power Pool, North Net Export (MW)"
2022-01-01 06:09:53,2022-01-01 00:09:53,2022-01-01 00:09:53,2022-01-01,2,0.0,79.199997,31.200001,5.002445,-218.699997
2022-01-01 07:09:53,2022-01-01 01:09:53,2022-01-01 01:09:53,2022-01-01,3,0.0,79.699997,31.200001,-496.242554,-218.699997
2022-01-01 08:09:53,2022-01-01 02:09:53,2022-01-01 02:09:53,2022-01-01,4,0.0,79.299995,31.200001,-1.000489,-218.800003
2022-01-01 09:09:53,2022-01-01 03:09:53,2022-01-01 03:09:53,2022-01-01,5,0.0,89.0,31.200001,-1.000489,-218.699997
2022-01-01 10:09:53,2022-01-01 04:09:53,2022-01-01 04:09:53,2022-01-01,6,0.0,89.099998,31.200001,-1.000489,-218.699997
2022-01-01 11:09:53,2022-01-01 05:09:53,2022-01-01 05:09:53,2022-01-01,7,0.0,67.699997,0.0,96.046944,-218.699997
2022-01-01 12:09:53,2022-01-01 06:09:53,2022-01-01 06:09:53,2022-01-01,8,0.0,29.5,0.0,2.000978,-218.800003
2022-01-01 13:09:53,2022-01-01 07:09:53,2022-01-01 07:09:53,2022-01-01,9,0.0,29.5,0.0,-20.009781,-218.800003
2022-01-01 14:09:53,2022-01-01 08:09:53,2022-01-01 08:09:53,2022-01-01,10,0.0,-0.2,-0.1,-49.02396,-100.299995
2022-01-01 15:09:53,2022-01-01 09:09:53,2022-01-01 09:09:53,2022-01-01,11,0.0,-0.2,0.0,-21.010269,-149.0
2022-01-01 16:09:53,2022-01-01 10:09:53,2022-01-01 10:09:53,2022-01-01,12,0.0,-0.1,0.0,152.074326,-218.0
2022-01-01 17:09:53,2022-01-01 11:09:53,2022-01-01 11:09:53,2022-01-01,13,0.0,-0.3,-0.1,154.075302,-218.5
2022-01-01 18:09:53,2022-01-01 12:09:53,2022-01-01 12:09:53,2022-01-01,14,0.0,-0.2,0.0,3.001467,-198.899994
2022-01-01 19:09:53,2022-01-01 13:09:53,2022-01-01 13:09:53,2022-01-01,15,0.0,-0.4,0.0,2.000978,-199.0
2022-01-01 20:09:53,2022-01-01 14:09:53,2022-01-01 14:09:53,2022-01-01,16,0.0,0.0,0.0,1.000489,-218.399994
2022-01-01 21:09:53,2022-01-01 15:09:53,2022-01-01 15:09:53,2022-01-01,17,0.0,-0.6,0.0,-149.072861,-218.699997
2022-01-01 22:09:53,2022-01-01 16:09:53,2022-01-01 16:09:53,2022-01-01,18,0.0,-0.2,0.0,0.0,-218.599991
2022-01-01 23:09:53,2022-01-01 17:09:53,2022-01-01 17:09:53,2022-01-01,19,0.0,-16.4,-98.0,19.009291,-218.699997
2022-01-02 00:09:53,2022-01-01 18:09:53,2022-01-01 18:09:53,2022-01-01,20,0.0,-0.4,0.0,253.123718,-218.699997
2022-01-02 01:09:53,2022-01-01 19:09:53,2022-01-01 19:09:53,2022-01-01,21,0.0,-0.6,0.0,103.050369,-218.899994
2022-01-02 02:09:53,2022-01-01 20:09:53,2022-01-01 20:09:53,2022-01-01,22,0.0,-0.2,0.0,4.001956,-218.899994
2022-01-02 03:09:53,2022-01-01 21:09:53,2022-01-01 21:09:53,2022-01-01,23,0.0,-0.4,0.0,3.001467,-219.0
2022-01-02 04:09:53,2022-01-01 22:09:53,2022-01-01 22:09:53,2022-01-01,24,0.0,-0.3,0.0,3.001467,-219.099991
2022-01-02 05:09:53,2022-01-01 23:09:53,2022-01-01 23:09:53,2022-01-01,1,0.0,-0.4,0.0,1.000489,-219.099991
2022-01-02 06:09:53,2022-01-02 00:09:53,2022-01-02 00:09:53,2022-01-02,2,0.0,-0.6,0.0,3.001467,-219.099991
