Local Timestamp Central Time (Interval Ending),UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Date,Hour Number,Total Generation (MW),Biomass Generation (MW),Coal Generation (MW),Gas Generation (MW),Gas-CC Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Generation (MW),Solar Generation (MW),Wind Generation (MW),Bus average LMP_x,Houston LMP_x,Hub average LMP_x,North LMP_x,Panhandle LMP_x,South LMP_x,West LMP_x,TOTAL Actual Load (MW),Coast Actual Load (MW),East Actual Load (MW),Far West Actual Load (MW),North Actual Load (MW),North Central Actual Load (MW),Southern Actual Load (MW),South Central Actual Load (MW),West Actual Load (MW),Bus average LMP_y,Houston LMP_y,Hub average LMP_y,North LMP_y,Panhandle LMP_y,South LMP_y,West LMP_y,SystemTotal Forecast Load (MW),Houston Forecast Load (MW),North Forecast Load (MW),South Forecast Load (MW),West Forecast Load (MW),"Comision Federal de Electricidad, Laredo Net Export (MW)","Comision Federal de Electricidad, Railroad Net Export (MW)","Southwest Power Pool, East Net Export (MW)","Southwest Power Pool, North Net Export (MW)",Average Temperature (Fahrenheit),Dallas / Fort Worth Temperature (Fahrenheit),Dallas / Fort Worth Temperature Observation Time (Central),Houston International Airport Temperature (Fahrenheit),Houston International Airport Temperature Observation Time (Central),TOTAL Actual Load (MW)_lag1,Year,Month,Day,Hour,DayOfWeek,DayOfYear,IsWeekend,Month_sin,Month_cos,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos
2024-01-01 01:00:00,1/1/2024 6:15,1/1/2024 0:00,1/1/2024,1,165786.30343,51.47884,23577.896304,3914.428304,59113.557010000004,14.674648,20400.425296,87.815748,0.033672,59220.21103,14.045,13.879999999999999,13.8825,14.870000000000001,15.275,11.2925,15.4925,41367.3,10228.5,1560.09,6377.13,1444.28,11592.98,2939.14,6095.58,1129.61,16.28,15.84,16.62,16.31,16.97,14.55,19.79,41377.666016,9410.839306,14503.7325,10297.206555,7165.887655,20.299999,-0.1,1.000489,0.0,47.45,37.9,2024-01-01 00:53:00,57.0,2024-01-01 00:53:00,41630.87,2024,1,1,1,0,1,0,0.49999999999999994,0.8660254037844387,0.25881904510252074,0.9659258262890683,0.0,1.0
2024-01-01 02:00:00,1/1/2024 7:15,1/1/2024 1:00,1/1/2024,2,166085.09775,51.47332,23555.890072,4082.237648,62999.45054,23.9416,20399.731712,117.23919599999999,0.031448000000000004,55514.80441,15.97,15.977500000000001,16.005,16.09,16.405,15.2575,16.705,41630.87,10109.71,1651.06,6477.34,1471.55,11818.7,2904.21,6046.83,1151.45,17.25,16.84,17.69,17.05,17.49,15.96,20.9,40879.754883,9203.292763,14578.43711,10063.078107,7034.946903,-0.5,-0.1,103.050369,0.0,47.0,37.0,2024-01-01 01:53:00,57.0,2024-01-01 01:53:00,41563.17,2024,1,1,2,0,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0
2024-01-01 03:00:00,1/1/2024 8:15,1/1/2024 2:00,1/1/2024,3,165901.98225,36.043788,23896.87258,4089.190596,65891.75653,94.325056,20401.317664000002,86.979108,0.006932,51814.61988,16.9675,16.994999999999997,16.9625,16.994999999999997,16.994999999999997,16.8575,16.994999999999997,41563.17,9966.45,1607.69,6417.21,1495.55,12137.73,2845.38,5942.27,1150.91,17.24,16.78,17.81,16.79,17.31,16.31,21.34,40443.660156,8969.837671,14768.408459,9745.00138,6960.412647,-0.5,-0.1,2.000978,0.0,46.5,36.0,2024-01-01 02:53:00,57.0,2024-01-01 02:53:00,41539.61,2024,1,1,3,0,1,0,0.49999999999999994,0.8660254037844387,0.7071067811865475,0.7071067811865476,0.0,1.0
2024-01-01 04:00:00,1/1/2024 9:15,1/1/2024 3:00,1/1/2024,4,165920.61304999999,28.879948,25150.547160000002,4085.2123,68538.10278,21.917396,20402.787272,133.82822,0.000588,47839.376879999996,17.9525,17.9525,17.9525,17.9525,17.9525,17.9525,17.9525,41539.61,9859.82,1631.72,6487.37,1526.05,12322.72,2761.7,5850.97,1099.27,17.85,17.39,18.57,17.1,17.5,17.45,22.32,40379.498535,8900.56703,14879.662196,9620.046096,6979.223213,-0.5,-0.1,1.000489,0.0,45.5,35.1,2024-01-01 03:53:00,55.9,2024-01-01 03:53:00,42199.84,2024,1,1,4,0,1,0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-01 05:00:00,1/1/2024 10:15,1/1/2024 4:00,1/1/2024,5,168747.57742,26.550256,28571.977852,4338.656116,72209.25765,20.497652000000002,20401.862272,240.109544,0.000484,43132.42127,20.525,20.6575,20.502499999999998,20.6575,20.6575,20.0425,20.6575,42199.84,9866.17,1714.81,6508.36,1565.07,12824.48,2742.7,5884.1,1094.15,19.4,19.01,20.03,18.87,19.48,18.54,23.68,40766.053589,8924.56918,15127.530751,9660.158098,7053.79556,-0.5,-0.1,3.001467,0.0,44.95,34.0,2024-01-01 04:53:00,55.9,2024-01-01 04:53:00,43210.4,2024,1,1,5,0,1,0,0.49999999999999994,0.8660254037844387,0.9659258262890683,0.25881904510252074,0.0,1.0
2024-01-01 06:00:00,1/1/2024 11:15,1/1/2024 5:00,1/1/2024,6,172608.93306,35.506548,35896.005912,5366.71572,76280.14527000001,15.190904,20399.643084,200.385256,0.000588,34779.391844,22.3275,22.47,22.3,22.47,22.47,21.775000000000002,22.47,43210.4,9956.96,1852.63,6503.46,1591.32,13372.83,2738.19,6052.04,1142.97,21.88,21.42,22.4,21.55,22.38,20.73,25.9,42269.213379,9175.757189,15632.564172,10221.267813,7239.624205,-0.5,-0.1,1.000489,0.0,44.5,34.0,2024-01-01 05:53:00,55.0,2024-01-01 05:53:00,44522.17,2024,1,1,6,0,1,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0
2024-01-01 07:00:00,1/1/2024 12:15,1/1/2024 6:00,1/1/2024,7,177601.65985999999,47.24798,41874.543284,7294.015632000001,81186.03722,84.817768,20400.63752,470.179132,0.006304,26566.92396,26.1675,26.1625,26.175,26.165,26.1875,26.1575,26.2075,44522.17,10078.27,2063.4,6503.34,1632.32,13896.25,2800.74,6307.85,1239.99,24.65,24.22,25.21,24.11,24.71,24.2,28.3,44515.515503,9688.104664,16396.83007,10978.41778,7452.162989,-0.3,-0.1,2.000978,0.0,45.5,34.0,2024-01-01 06:53:00,57.0,2024-01-01 06:53:00,45306.92,2024,1,1,7,0,1,0,0.49999999999999994,0.8660254037844387,0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-01 08:00:00,1/1/2024 13:15,1/1/2024 7:00,1/1/2024,8,179675.26241999998,45.156316,45032.02408,8045.572816,83247.89448,84.444392,20399.91412,1917.2389440000002,347.447676,20638.378584,31.0875,31.0875,31.0875,31.0875,31.0875,31.0875,31.0875,45306.92,10085.0,2215.36,6470.78,1664.51,14293.05,2675.26,6600.44,1302.52,29.2,28.41,29.87,28.7,29.99,28.09,34.28,45412.113892,9925.863071,16827.867378,11306.026008,7352.357434,-0.6,-0.1,-397.194122,0.0,45.05,33.1,2024-01-01 07:53:00,57.0,2024-01-01 07:53:00,46159.2,2024,1,1,8,0,1,0,0.49999999999999994,0.8660254037844387,0.8660254037844388,-0.4999999999999998,0.0,1.0
2024-01-01 09:00:00,1/1/2024 14:15,1/1/2024 8:00,1/1/2024,9,183223.5782,46.241656,44741.59497,8554.589156,83198.21237,84.444148,20397.559168,1388.186988,12338.79818,13222.7123,40.095,40.095,40.095,40.095,40.095,40.095,40.095,46159.2,10164.74,2284.09,6446.38,1684.48,14521.29,2730.69,6900.43,1427.1,22.92,22.68,23.1,22.83,23.6,22.47,24.43,45706.535156,10105.096454,16825.868766,11137.943732,7637.626205,-0.8,-0.1,-198.096817,0.0,46.5,35.1,2024-01-01 08:53:00,57.9,2024-01-01 08:53:00,46490.3,2024,1,1,9,0,1,0,0.49999999999999994,0.8660254037844387,0.7071067811865476,-0.7071067811865475,0.0,1.0
2024-01-01 10:00:00,1/1/2024 16:00,1/1/2024 9:45,1/1/2024,10,185805.34399,46.262368,39290.719444,7220.620572,78768.08929,82.963108,20398.882772,263.02018400000003,32099.361304,8000.30772,22.3275,22.3275,22.3275,22.3275,22.3275,22.3275,22.3275,46490.3,10375.28,2245.67,6364.82,1685.66,14484.82,2786.17,7060.93,1486.95,19.51,19.54,19.52,19.54,19.65,19.36,19.66,45871.179443,10379.383719,16664.932744,10982.709581,7844.153399,-0.7,-0.1,-146.071396,0.0,49.0,37.9,2024-01-01 09:53:00,60.1,2024-01-01 09:53:00,46709.61,2024,1,1,10,0,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,0.0,1.0
