ERCOT Hourly Imports and Exports (megawatt) by DC Tie Line
Hourly interchange data by DC tie line for ERCOT
Source: EIA collected from ERCOT
UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,"Comision Federal de Electricidad, Eagle Pass Net Export (MW)","Comision Federal de Electricidad, Laredo Net Export (MW)","Comision Federal de Electricidad, Railroad Net Export (MW)","Southwest Power Pool, East Net Export (MW)","Southwest Power Pool, North Net Export (MW)"
2021-03-30 17:09:50,2021-03-30 12:09:50,2021-03-30 12:09:50,2021-03-30,13,0.0,-0.4,0.0,1.000489,-218.599991
2021-03-30 18:09:50,2021-03-30 13:09:50,2021-03-30 13:09:50,2021-03-30,14,0.0,-0.4,0.0,1.000489,-218.399994
2021-03-30 19:09:50,2021-03-30 14:09:50,2021-03-30 14:09:50,2021-03-30,15,0.0,-0.4,0.0,1.000489,-198.699997
2021-03-30 20:09:50,2021-03-30 15:09:50,2021-03-30 15:09:50,2021-03-30,16,0.0,-0.3,-14.1,0.0,-218.5
2021-03-30 21:09:50,2021-03-30 16:09:50,2021-03-30 16:09:50,2021-03-30,17,0.0,-0.3,-14.1,0.0,-218.5
2021-03-30 22:09:50,2021-03-30 17:09:50,2021-03-30 17:09:50,2021-03-30,18,0.0,-0.2,-14.0,0.0,-218.699997
2021-03-30 23:09:50,2021-03-30 18:09:50,2021-03-30 18:09:50,2021-03-30,19,0.0,-0.4,0.0,0.0,-218.599991
2021-03-31 00:09:50,2021-03-30 19:09:50,2021-03-30 19:09:50,2021-03-30,20,0.0,-0.4,0.0,0.0,-218.599991
2021-03-31 01:09:50,2021-03-30 20:09:50,2021-03-30 20:09:50,2021-03-30,21,0.0,-0.7,0.0,1.000489,-218.300003
2021-03-31 02:09:50,2021-03-30 21:09:50,2021-03-30 21:09:50,2021-03-30,22,0.0,-0.3,0.0,0.0,-218.399994
2021-03-31 03:09:50,2021-03-30 22:09:50,2021-03-30 22:09:50,2021-03-30,23,0.0,-0.4,0.0,0.0,-218.599991
2021-03-31 04:09:50,2021-03-30 23:09:50,2021-03-30 23:09:50,2021-03-30,24,0.0,-0.4,0.0,103.050316,-218.399994
2021-03-31 05:09:50,2021-03-31 00:09:50,2021-03-31 00:09:50,2021-03-31,1,0.0,-0.4,0.0,3.001466,-99.799995
2021-03-31 06:09:50,2021-03-31 01:09:50,2021-03-31 01:09:50,2021-03-31,2,0.0,9.599999,0.0,4.001954,-99.900002
2021-03-31 07:09:50,2021-03-31 02:09:50,2021-03-31 02:09:50,2021-03-31,3,0.0,9.7,0.0,2.000977,0.0
2021-03-31 08:09:50,2021-03-31 03:09:50,2021-03-31 03:09:50,2021-03-31,4,0.0,9.5,0.0,1.000489,0.0
2021-03-31 09:09:50,2021-03-31 04:09:50,2021-03-31 04:09:50,2021-03-31,5,0.0,9.2,0.0,120.058624,49.0
2021-03-31 10:09:50,2021-03-31 05:09:50,2021-03-31 05:09:50,2021-03-31,6,0.0,-0.8,0.0,152.074249,100.0
2021-03-31 11:09:50,2021-03-31 06:09:50,2021-03-31 06:09:50,2021-03-31,7,0.0,-0.3,0.0,77.037613,24.5
2021-03-31 12:09:50,2021-03-31 07:09:50,2021-03-31 07:09:50,2021-03-31,8,0.0,-0.5,0.0,4.001954,0.0
2021-03-31 13:09:50,2021-03-31 08:09:50,2021-03-31 08:09:50,2021-03-31,9,0.0,-0.4,0.0,3.001466,0.0
2021-03-31 14:09:50,2021-03-31 09:09:50,2021-03-31 09:09:50,2021-03-31,10,0.0,-0.8,0.0,4.001954,0.0
2021-03-31 15:09:50,2021-03-31 10:09:50,2021-03-31 10:09:50,2021-03-31,11,0.0,-0.4,0.0,4.001954,48.899998
2021-03-31 16:09:50,2021-03-31 11:09:50,2021-03-31 11:09:50,2021-03-31,12,0.0,-0.4,0.0,4.001954,49.099998
2021-03-31 17:09:50,2021-03-31 12:09:50,2021-03-31 12:09:50,2021-03-31,13,0.0,-0.2,0.0,2.000977,49.0
2021-03-31 18:09:50,2021-03-31 13:09:50,2021-03-31 13:09:50,2021-03-31,14,0.0,-0.4,0.0,4.001954,0.1
2021-03-31 19:09:50,2021-03-31 14:09:50,2021-03-31 14:09:50,2021-03-31,15,0.0,-0.6,-14.1,3.001466,48.799999
2021-03-31 20:09:50,2021-03-31 15:09:50,2021-03-31 15:09:50,2021-03-31,16,0.0,-0.8,-14.0,5.002442,49.200001
2021-03-31 21:09:50,2021-03-31 16:09:50,2021-03-31 16:09:50,2021-03-31,17,0.0,-0.6,-14.0,3.001466,49.23457
2021-03-31 22:09:50,2021-03-31 17:09:50,2021-03-31 17:09:50,2021-03-31,18,0.0,-0.4,-14.0,3.001466,0.0
2021-03-31 23:09:50,2021-03-31 18:09:50,2021-03-31 18:09:50,2021-03-31,19,0.0,-0.5,0.0,3.001466,53.899998
2021-04-01 00:09:50,2021-03-31 19:09:50,2021-03-31 19:09:50,2021-03-31,20,0.0,-0.3,0.0,3.001466,0.0
2021-04-01 01:09:50,2021-03-31 20:09:50,2021-03-31 20:09:50,2021-03-31,21,0.0,-0.4,0.0,1.000489,0.0
2021-04-01 02:09:50,2021-03-31 21:09:50,2021-03-31 21:09:50,2021-03-31,22,0.0,-0.7,0.0,1.000489,0.0
2021-04-01 03:09:50,2021-03-31 22:09:50,2021-03-31 22:09:50,2021-03-31,23,0.0,-0.3,0.0,1.000489,0.0
2021-04-01 04:09:50,2021-03-31 23:09:50,2021-03-31 23:09:50,2021-03-31,24,0.0,-0.4,0.0,3.001466,0.0
2021-04-01 05:09:53,2021-04-01 00:09:53,2021-04-01 00:09:53,2021-04-01,1,0.0,-0.5,0.0,2.000977,0.0
2021-04-01 06:09:53,2021-04-01 01:09:53,2021-04-01 01:09:53,2021-04-01,2,0.0,10.0,0.0,3.001466,0.0
2021-04-01 07:09:53,2021-04-01 02:09:53,2021-04-01 02:09:53,2021-04-01,3,0.0,-0.4,0.0,3.001466,0.0
2021-04-01 08:09:53,2021-04-01 03:09:53,2021-04-01 03:09:53,2021-04-01,4,0.0,-0.4,0.0,2.000977,0.0
2021-04-01 09:09:53,2021-04-01 04:09:53,2021-04-01 04:09:53,2021-04-01,5,0.0,-0.5,0.0,2.000977,0.0
2021-04-01 10:09:53,2021-04-01 05:09:53,2021-04-01 05:09:53,2021-04-01,6,0.0,-0.5,0.0,1.000489,0.0
2021-04-01 11:09:53,2021-04-01 06:09:53,2021-04-01 06:09:53,2021-04-01,7,0.0,-0.4,0.0,3.001466,0.0
2021-04-01 12:09:53,2021-04-01 07:09:53,2021-04-01 07:09:53,2021-04-01,8,0.0,-0.5,0.0,3.001466,0.0
2021-04-01 13:09:53,2021-04-01 08:09:53,2021-04-01 08:09:53,2021-04-01,9,0.0,-0.6,0.0,3.001466,0.0
2021-04-01 14:09:53,2021-04-01 09:09:53,2021-04-01 09:09:53,2021-04-01,10,0.0,-0.4,0.0,2.000977,0.0
2021-04-01 15:09:53,2021-04-01 10:09:53,2021-04-01 10:09:53,2021-04-01,11,0.0,-0.8,0.0,4.001954,0.0
2021-04-01 16:09:53,2021-04-01 11:09:53,2021-04-01 11:09:53,2021-04-01,12,0.0,-0.2,0.0,2.000977,0.1
2021-04-01 17:09:53,2021-04-01 12:09:53,2021-04-01 12:09:53,2021-04-01,13,0.0,-0.6,0.0,2.000977,0.1
2021-04-01 18:09:53,2021-04-01 13:09:53,2021-04-01 13:09:53,2021-04-01,14,0.0,-0.8,0.0,1.000489,0.0
2021-04-01 19:09:53,2021-04-01 14:09:53,2021-04-01 14:09:53,2021-04-01,15,0.0,-0.3,0.0,2.000977,-119.699997
2021-04-01 20:09:53,2021-04-01 15:09:53,2021-04-01 15:09:53,2021-04-01,16,0.0,-0.5,0.0,2.000977,-119.799995
2021-04-01 21:09:51,2021-04-01 16:09:51,2021-04-01 16:09:51,2021-04-01,17,0.0,-0.4,0.0,3.001466,-119.799995
2021-04-01 22:09:51,2021-04-01 17:09:51,2021-04-01 17:09:51,2021-04-01,18,0.0,-0.5,0.0,2.000977,-119.900002
2021-04-01 23:09:51,2021-04-01 18:09:51,2021-04-01 18:09:51,2021-04-01,19,0.0,-0.3,0.0,2.000977,-119.799995
2021-04-02 00:09:51,2021-04-01 19:09:51,2021-04-01 19:09:51,2021-04-01,20,0.0,-0.4,-0.1,2.000977,-119.900002
2021-04-02 01:09:51,2021-04-01 20:09:51,2021-04-01 20:09:51,2021-04-01,21,0.0,-0.7,-0.1,3.001466,-218.699997
2021-04-02 02:09:51,2021-04-01 21:09:51,2021-04-01 21:09:51,2021-04-01,22,0.0,-0.2,-0.1,2.000977,-218.5
2021-04-02 03:09:51,2021-04-01 22:09:51,2021-04-01 22:09:51,2021-04-01,23,0.0,-0.5,-0.1,3.001466,-218.399994
2021-04-02 04:09:51,2021-04-01 23:09:51,2021-04-01 23:09:51,2021-04-01,24,0.0,-0.1,0.0,2.000977,-218.599991
2021-04-02 05:09:51,2021-04-02 00:09:51,2021-04-02 00:09:51,2021-04-02,1,0.0,0.0,-0.1,2.000977,-218.599991
2021-04-02 06:09:51,2021-04-02 01:09:51,2021-04-02 01:09:51,2021-04-02,2,0.0,-0.4,-0.1,-99.048363,-218.399994
2021-04-02 07:09:51,2021-04-02 02:09:51,2021-04-02 02:09:51,2021-04-02,3,0.0,4.4,-0.1,0.0,-218.599991
2021-04-02 08:09:51,2021-04-02 03:09:51,2021-04-02 03:09:51,2021-04-02,4,0.0,-0.5,0.0,2.000977,-218.5
2021-04-02 09:09:51,2021-04-02 04:09:51,2021-04-02 04:09:51,2021-04-02,5,0.0,-0.1,0.0,2.000977,-218.599991
2021-04-02 10:09:51,2021-04-02 05:09:51,2021-04-02 05:09:51,2021-04-02,6,0.0,4.5,0.0,2.000977,-218.5
2021-04-02 11:09:51,2021-04-02 06:09:51,2021-04-02 06:09:51,2021-04-02,7,0.0,4.5,0.0,3.001466,-218.5
2021-04-02 12:09:51,2021-04-02 07:09:51,2021-04-02 07:09:51,2021-04-02,8,0.0,-0.7,-0.1,202.098679,-218.599991
2021-04-02 13:09:51,2021-04-02 08:09:51,2021-04-02 08:09:51,2021-04-02,9,0.0,-0.6,-0.1,202.098679,-218.599991
2021-04-02 14:09:51,2021-04-02 09:09:51,2021-04-02 09:09:51,2021-04-02,10,0.0,-90.199997,-149.0,3.001466,-218.800003
2021-04-02 15:09:51,2021-04-02 10:09:51,2021-04-02 10:09:51,2021-04-02,11,0.0,-59.0,-97.099998,2.000977,-119.699997
2021-04-02 16:09:51,2021-04-02 11:09:51,2021-04-02 11:09:51,2021-04-02,12,0.0,-23.6,-97.199997,2.000977,0.1
2021-04-02 17:09:51,2021-04-02 12:09:51,2021-04-02 12:09:51,2021-04-02,13,0.0,-0.4,-97.099998,2.000977,223.099991
2021-04-02 18:09:51,2021-04-02 13:09:51,2021-04-02 13:09:51,2021-04-02,14,0.0,-0.4,-149.0,2.000977,191.899994
